"Species","V2","V3","V4","V5","V6"
"Aepyprymnus_rufescens",16.08280201375,9.76073975925,9.55863878775,9.237834783625,9.130073679625
"Bettongia_penicillata",8.56683242525,15.05705111225,8.536819757,7.9111152705,8.43173423675
"Bettongia_tropica",9.157918765,9.157918765,9.157918765,9.157918765,9.157918765
"Dasyurus_maculatus",14.7322973175,12.50402814275,12.889083655,15.74913748625,13.0656477875
"Dasyurus_viverrinus",11.458245176,24.9579859166667,17.73771253,7.77784542,13.59286089
"Dendrolagus_bennettianus",9.4529447585,19.17511137,9.915796218,9.8839891745,8.6325802015
"Dendrolagus_goodfellowi",14.07955747,14.07955747,14.07955747,14.07955747,14.07955747
"Dendrolagus_lumholtzi",10.09736444975,18.7791659875,9.96226626125,19.573996185,9.55208398275
"Dendrolagus_matschiei",26.985973975,12.493433243,12.350669698,11.0674536815,21.73950869
"Dorcopsulus_vanheurni",16.8253669645,21.2800245745,14.9225608195,6.282835796,16.9548908045
"Hypsiprymnodon_moschatus",17.8588105275,6.72303074275,6.6930180745,6.4774958665,6.4774958665
"Lagorchestes_conspicillatus",25.3759006,24.454569085,20.129435315,24.454569085,10.498618239
"Lagorchestes_hirsutus",15.473765122,10.2815901724,10.0851622714,9.7570164486,16.124424566
"Lagostrophus_fasciatus",8.5429379655,18.0442312015,18.1737550415,13.0760611265,8.753109006
"Macropus_fuliginosus",25.402113756,17.34260725,17.0142714468,17.0856170456,27.800114052
"Macropus_giganteus",16.6044383794,19.9262057446,27.309763366,16.7621498821,26.337929696
"Notamacropus_agilis",9.05323039577778,8.48291216622222,27.50414536,8.90141788488889,8.63853747377778
"Notamacropus_irma",15.35856306,11.370271111,20.73089181,24.350708485,20.28334781
"Onychogalea_fraenata",10.42050006825,10.42050006825,10.42050006825,10.42050006825,10.42050006825
"Onychogalea_unguifera",9.1898887115,11.392953912,9.1898887115,10.4412976845,10.4412976845
"Osphranter_antilopinus",9.5045964276,22.92698933,27.889664556,9.1680087214,9.836709143
"Osphranter_robustus",15.2432835905,28.63364368,14.7187098667,14.8322466943,14.9184555775
"Osphranter_rufus",5.031426823,30.92181906,35.947135895,7.3240737285,30.70067061
"Petrogale_brachyotis",23.50459831,9.818843841,8.5074095315,19.17946454,23.50459831
"Petrogale_penicillata",27.63592146,8.91685938633333,8.898047191,21.6387175933333,25.2227103433333
"Petrogale_persephone",10.666785052,19.3392221633333,10.3582174123333,16.83966182,16.9260110466667
"Potorous_tridactylus",6.7713966998,7.7346443264,6.6283914608,10.9610810644,9.0500394244
"Pseudocheirus_peregrinus",12.83056378,7.746084248,9.97990103666667,7.55052802533333,7.294033606
"Setonix_brachyurus",16.2258746666667,10.031793203,10.031793203,9.891679176,16.3122238933333
"Spilocuscus_maculatus",20.72241625,10.9443420363333,19.6379838433333,10.9443420363333,13.2906364333333
"Thylacinus_cynocephalus",31.6336125075,32.971244705,28.79583896625,31.7711957375,32.5645825525
"Thylogale_stigmatica",11.144049565,11.144049565,11.144049565,11.144049565,11.144049565
"Thylogale_thetis",19.9465999466667,12.2519749566667,10.1897304286667,14.9655629866667,19.9465999466667
"Trichosurus_vulpecula",9.8068754555,17.5812746481667,9.8068754555,11.6520689881667,11.7588386298333
"Wallabia_bicolor",12.2146207901667,28.7913774783333,27.07138591,24.0727839766667,22.3327100533333
